LAT,LON,JAN,FEV,MR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-67.125,0.012524,0.112866,0.0324623,0.00147387,0.00297352,0.00730225,0.00279388,0.00192304,0.0573313,0.0418945,0.0427898,0.0182878
-36.875,-66.875,0.00692165,0.145251,0.0739185,0.00113704,0.00509299,0.00811124,0.000209011,0.00194826,0.0821796,0.0562228,0.0205979,0.0352047
-36.875,-66.625,0.00653757,0.170204,0.0802763,0.00112828,0.0123417,0.0104606,0.00672925,0.00367057,0.141244,0.0692404,0.0219959,0.0509189
-36.875,-66.375,0.0183347,0.184795,0.123329,0.00103521,0.0113826,0.0113918,0.000140289,0.00594874,0.278667,0.0739821,0.0409822,0.0380815
-36.875,-66.125,0.0349673,0.204351,0.11212,0.000904977,0.00379484,0.00917696,0.000121885,0.00466011,0.127352,0.112212,0.0607675,0.0546131
-36.875,-65.875,0.0639708,0.183984,0.214131,0.00128352,0.00104183,0.0111772,0.00251568,0.0192329,0.137929,0.123308,0.084869,0.0549937
-36.875,-65.625,0.0658482,0.159761,0.249302,0.00103799,0.000647939,0.0120535,0.00736177,0.0119108,0.122458,0.0748719,0.0848258,0.0490317
-36.875,-65.375,0.0985536,0.143022,0.286423,0.0064815,0.00247322,0.00719377,0.0095769,0.0113124,0.12026,0.0782389,0.0684382,0.0557663
-36.875,-65.125,0.0925518,0.136632,0.218531,0.00886134,0.000932281,0.00569783,0.00542677,0.0160898,0.0965244,0.0856133,0.0493673,0.0842649
-36.875,-64.875,0.0908051,0.186405,0.16387,0.00432854,0.00097173,0.00765408,0.0152613,0.00197943,0.12454,0.0653736,0.0592243,0.0761206
-36.875,-64.625,0.0774376,0.184889,0.194591,0.00429017,0.00142959,0.007233,0.018491,0.00191231,0.169269,0.0543579,0.0420964,0.0597908
-36.875,-64.375,0.101055,0.212373,0.229919,0.00700692,0.00152102,0.00800696,0.0147016,0.00232712,0.222707,0.0580997,0.0640168,0.0488247
-36.875,-64.125,0.109074,0.192101,0.249516,0.007932,0.00227572,0.00819776,0.0117344,0.00606611,0.201346,0.0543089,0.0463964,0.0430477
