LAT,LON,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0.00552419,0.00133929,0.0129032,0.0337917,0.0511694,0.201625,0.101895,0.0541935,0.003875,0.0241935,0.000166667,0.0352823
-36.875,-76.625,0.00455645,0.00348214,0.0214516,0.0354167,0.0528629,0.244208,0.100847,0.0601613,0.0285417,0.0204032,0.000166667,0.0469758
-36.875,-76.375,0.00391129,0.00700893,0.0195564,0.044875,0.0646371,0.2535,0.0994355,0.0466936,0.035875,0.0219355,0.00154167,0.0471371
-36.875,-76.125,0.00354839,0.00700893,0.0213306,0.053,0.0703226,0.279875,0.111089,0.0505242,0.0381667,0.0195565,0.00733333,0.0519355
-36.875,-75.875,0.00266129,0.00580357,0.00806452,0.0569167,0.122581,0.249667,0.0961693,0.0650807,0.0122917,0.0327419,0.00108333,0.0296371
-36.875,-75.625,0.00221774,0.00424107,0.00794355,0.0656667,0.120968,0.263333,0.0988307,0.0709274,0.0135833,0.0350806,0.000125,0.0210484
-36.875,-75.375,0.00125,0.00450893,0.0122581,0.0710833,0.131169,0.258375,0.0870161,0.0713307,0.012125,0.0306855,0.00104167,0.0135887
-36.875,-75.125,0.00391129,0.000446429,0.0121371,0.0949167,0.125484,0.266917,0.0841936,0.0858468,0.00620833,0.036129,0.00191667,0.0183871
-36.875,-74.875,0.00362903,0.000982143,0.0191935,0.100125,0.193831,0.245667,0.0771371,0.121129,0.00166667,0.0404839,0.00075,0.0150403
-36.875,-74.625,0.00709677,0.000982143,0.0196371,0.103208,0.25496,0.232583,0.0736291,0.131492,0.00608333,0.0304839,0.0125417,0.0182258
-36.875,-74.375,0.00487903,0.0021875,0.0262097,0.0860417,0.291169,0.213583,0.0746371,0.127782,0.00191667,0.0505242,0.0244167,0.0173387
-36.875,-74.125,0.00141129,0.00165179,0.0322984,0.070375,0.198952,0.164042,0.0789919,0.0977823,0.00233333,0.0499194,0.00516667,0.0120565
-36.875,-73.875,0.0236542,0.0112402,0.0236727,0.118499,0.167556,0.274134,0.220979,0.199411,0.0366717,0.0825054,0.0127417,0.0428151
-36.875,-73.625,0.0204753,0.00958847,0.0125328,0.112216,0.147953,0.248026,0.206288,0.17222,0.0399452,0.073753,0.0116265,0.041302
-36.875,-73.375,0.0410434,0.00817772,0.0183675,0.189098,0.192527,0.319197,0.249912,0.20996,0.0364868,0.0751263,0.0103665,0.0470461
-36.875,-73.125,0.0454957,0.00708047,0.0128875,0.174339,0.156896,0.286283,0.262296,0.204189,0.0362184,0.0625356,0.00817318,0.0459896
-36.875,-72.875,0.0524949,0.000125351,0.0127305,0.159741,0.117767,0.325563,0.295426,0.231041,0.0367142,0.0710619,6.71E-05,0.0486521
-36.875,-72.625,0.0424737,0.00649242,0.0194119,0.14075,0.125066,0.37756,0.31687,0.262164,0.0427656,0.0840551,0,0.0678244
-36.875,-72.375,0.0485744,0.00692592,0.0178016,0.13664,0.131482,0.401731,0.360216,0.27403,0.0485176,0.108023,0,0.0767758
-36.875,-72.125,0.056618,0.0140523,0.0237115,0.153424,0.14729,0.397926,0.397504,0.270158,0.0512994,0.123595,0.00146662,0.0769193
-36.875,-71.875,0.0357552,0.014192,0.0226179,0.146382,0.16583,0.470492,0.416693,0.315833,0.111871,0.153466,0.00366097,0.0906
-36.875,-71.625,0.050899,0.0181303,0.0923693,0.164164,0.184506,0.48472,0.431451,0.292918,0.194291,0.282712,0.0466519,0.203097
-36.875,-71.375,0.211047,0.0775485,0.254374,0.230801,0.248411,0.478348,0.477035,0.293431,0.240566,0.383491,0.169935,0.300397
-36.875,-71.125,0.0708101,0.00491471,0.015737,0.109413,0.139802,0.36732,0.299324,0.250852,0.223986,0.205437,0.0340239,0.072313
-36.875,-70.875,0.0816671,0.0122499,0.0169219,0.0828993,0.0968427,0.262077,0.22894,0.154093,0.115897,0.0597776,0.0155833,0.0407921
-36.875,-70.625,0.0471614,0.0779936,0.0502213,0.0793033,0.0848009,0.23843,0.199806,0.127824,0.102493,0.0650984,0.0430428,0.0967257
