LAT,LON,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0.0028629,0,0.0221774,0.00753138,0.0427419,0.153125,0.0592713,0.0294355,0.110708,0.0075,0.031625,0.00467742
-36.875,-76.625,0.00294355,0,0.0445565,0.00556485,0.0477823,0.150042,0.048583,0.0357258,0.113875,0.0178226,0.0300417,0.00665323
-36.875,-76.375,0.00258065,8.93E-05,0.0459274,0.0166109,0.058629,0.171792,0.0373279,0.0402016,0.102208,0.0220161,0.0285417,0.00725806
-36.875,-76.125,0.00221774,0,0.0430242,0.0039749,0.0877016,0.195833,0.0383806,0.0562097,0.100833,0.0285081,0.037375,0.00233871
-36.875,-75.875,0.00350806,0.00142857,0.0241935,0.00209205,0.0849194,0.221583,0.052996,0.0388306,0.118333,0.0529839,0.0255833,0.00237903
-36.875,-75.625,0.00189516,0.0009375,0.00995968,0.00376569,0.0816532,0.175625,0.0592308,0.0341935,0.1195,0.0545968,0.0310833,0.00366935
-36.875,-75.375,0.00431452,0.00133929,0.00604839,0.00276151,0.0652016,0.166708,0.0594332,0.0309677,0.0952917,0.044879,0.0307083,0.00181452
-36.875,-75.125,0.00193548,0.00142857,0.00625,0.00430962,0.0577016,0.164958,0.0588664,0.0180242,0.0939167,0.0414516,0.0327083,0.00129032
-36.875,-74.875,0.00157258,0.000982143,0.00721774,0.00313808,0.0593145,0.138792,0.0457895,0.0232258,0.0835,0.0485081,0.053875,0.00189516
-36.875,-74.625,0.00258065,0.00125,0.0028629,0.00807531,0.0779032,0.158458,0.0602429,0.0175403,0.0847917,0.0591935,0.06475,0.00298387
-36.875,-74.375,0.00407258,0.00165179,0.00116935,0.0132218,0.0714516,0.144458,0.0477328,0.0121371,0.0609167,0.0579839,0.0379167,0.00439516
-36.875,-74.125,0.00487903,0.00352679,0.000806452,0.0101667,0.0422177,0.127583,0.0319028,0.0326613,0.0652917,0.0569758,0.0235833,0.00362903
-36.875,-73.875,0.0105161,0.00757423,0.00843775,0.0163304,0.0685449,0.268238,0.0790402,0.0663153,0.126243,0.0661299,0.0657796,0.0242905
-36.875,-73.625,0.00676535,0.00936998,0.00969363,0.012983,0.0667965,0.250611,0.0932366,0.0563966,0.112855,0.0519583,0.0773065,0.020065
-36.875,-73.375,0.006318,0.00870635,0.00753669,0.0244302,0.0982862,0.332141,0.14395,0.0769909,0.14732,0.0805051,0.0626942,0.0298099
-36.875,-73.125,0.00615281,0.0045246,0.00731293,0.0219326,0.0867939,0.324431,0.134198,0.0742861,0.152969,0.0740461,0.0610347,0.0248757
-36.875,-72.875,0.00481901,2.35E-05,0.00707429,0.0204463,0.0699356,0.35147,0.130625,0.0925133,0.135244,0.109922,0.0822333,0.024499
-36.875,-72.625,0.00509129,0.000300778,0.00991014,0.0342721,0.0703138,0.296855,0.100142,0.101658,0.129528,0.105061,0.0879231,0.0210587
-36.875,-72.375,0.00844983,0.000352152,0.0102737,0.0652785,0.0961405,0.302642,0.0898639,0.109916,0.136478,0.0666175,0.0879971,0.0242468
-36.875,-72.125,0.00799458,0.000404051,0.0115864,0.0771127,0.135902,0.333573,0.128926,0.111652,0.150255,0.0681701,0.0894339,0.0236622
-36.875,-71.875,0.0116793,0.00155346,0.00993739,0.0616614,0.165534,0.35229,0.166595,0.132537,0.156263,0.0565097,0.0933803,0.0216263
-36.875,-71.625,0.0628412,0.00601775,0.0140947,0.0577343,0.161317,0.3541,0.359707,0.133195,0.166344,0.152114,0.286999,0.0355672
-36.875,-71.375,0.291239,0.0794963,0.0238373,0.0371136,0.195468,0.364836,0.310708,0.177999,0.262531,0.272129,0.56845,0.224416
-36.875,-71.125,0.00793113,0.00240027,0.00868843,0.0257685,0.0900384,0.26946,0.193262,0.0936203,0.10917,0.0396206,0.140977,0.0151597
-36.875,-70.875,0.00215913,0.000470735,0.00669462,0.0204948,0.0991514,0.203398,0.132286,0.0771979,0.057964,0.0161606,0.050349,0.00402744
-36.875,-70.625,0.0128941,0.00470964,0.015797,0.0219308,0.0927382,0.183863,0.104579,0.0691319,0.0705236,0.0177699,0.0947785,0.00349979
-36.875,-70.375,0.0217659,0.00462836,0.0166591,0.0292302,0.0726516,0.159682,0.0932722,0.0683022,0.0573948,0.0124239,0.0618232,0.00110615
-36.875,-70.125,0.019165,0.000842857,0.0213572,0.0115447,0.054292,0.136378,0.187843,0.0984581,0.0468498,0.00599637,0.0306011,0.000329212
-36.875,-69.875,0.0135404,0.000289352,0.0487881,0.0064092,0.0250863,0.0768828,0.0555614,0.0407542,0.0272514,0.00182169,0.00995627,0.000117043
-36.875,-69.625,0.0242079,0.00398759,0.0494482,0.00607212,0.0185101,0.0654159,0.0278329,0.0203779,0.00809361,0.00958319,0.0285933,0.000107263
-36.875,-69.375,0.0399196,0.00599463,0.0379981,0.0048941,0.0156406,0.0611785,0.0191962,0.0246233,0.000318908,0.00439394,0.0285211,0.000165197
-36.875,-69.125,0.0544342,0.00425663,0.0267129,0.0113374,0.0142941,0.0596379,0.0163833,0.0272078,0.000214673,0.00940331,0.020415,0.000211712
-36.875,-68.875,0.0421622,0.0111912,0.0231118,0.0279363,0.0151207,0.0528389,0.0063687,0.00998313,0.000646862,0,0.00546725,0
-36.875,-68.625,0.0504231,0.00651195,0.0288941,0.00667563,0.0132608,0.0470035,0.00797775,0.0087576,0.000732446,0,0.00972825,2.55E-05
-36.875,-68.375,0.0521734,0.00187092,0.0287782,0.0120542,0.010846,0.0414555,0.00860654,0.00633082,0.00104479,2.97E-05,0.00650832,0
-36.875,-68.125,0.0458054,0.00170388,0.0302168,0.0248523,0.00850544,0.0361508,0.00387884,0.00472719,0.00169136,0.00013524,0.00533762,0
-36.875,-67.875,0.0466793,0.00474535,0.0386511,0.053496,0.00299292,0.0303908,0.00177573,0.0119131,0.00176447,0.000629734,0.0103768,0.0626089
-36.875,-67.625,0.07521,0.00863624,0.0369476,0.0508346,0.00157197,0.0319709,0,0.00668315,0.00878007,0.000955915,0.00759374,0.0747074
-36.875,-67.375,0.0842648,0.00830376,0.0333339,0.0275945,0.000342777,0.0202001,0,0.00140952,0.0101235,0.00210436,0.00731857,0.0492721
-36.875,-67.125,0.0414457,0.00893923,0.0266458,0.0204276,0.000479668,0.0120051,0,0.00158139,0.0022195,0.00374709,0.0100752,0.0375471
-36.875,-66.875,0.0338368,0.00530483,0.0313667,0.0188421,0.00189303,0.00518761,0,0.00543483,0.00486739,0.00861588,0.0200433,0.0195524
-36.875,-66.625,0.0675913,0.0222617,0.041392,0.027509,0.0107465,0.00989982,0,0.00251455,0.00500745,0.00867065,0.0311322,0.0325298
-36.875,-66.375,0.122172,0.0374248,0.0592261,0.0492542,0.00610704,0.0112169,0.00239844,0.00241911,0.00550322,0.0104019,0.0506242,0.0433855
-36.875,-66.125,0.110112,0.00279085,0.0687536,0.0376687,0.0109375,0.00468269,0.00533598,0.00577891,0.0107594,0.0162001,0.0712137,0.0474052
