LAT,LON,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0.00524194,0.0121429,0.0959274,0.075625,0.0316532,0.0329583,0.0827016,0.0430242,0.00716667,0.00681452,0.00208333,0.00185484
-36.875,-76.625,0.00479839,0.0109375,0.0620161,0.065875,0.0418548,0.01875,0.0808468,0.0430242,0.012875,0.00362903,0.001625,0.000645161
-36.875,-76.375,0.00306452,0.0101786,0.0527419,0.0613333,0.0692339,0.0295417,0.0927823,0.0538306,0.0161667,0.0058871,0.00116667,0.000604839
-36.875,-76.125,0.00915322,0.0147768,0.0511694,0.0666667,0.0902419,0.0386667,0.0750403,0.0569758,0.03575,0.0134274,0.00195833,0.00185484
-36.875,-75.875,0.0091129,0.0308036,0.0539516,0.044875,0.0907661,0.036125,0.0602823,0.0493952,0.0227083,0.00225806,0.0184583,0.00435484
-36.875,-75.625,0.00737903,0.0298214,0.0593145,0.0500833,0.0968145,0.0435417,0.0791532,0.0539919,0.011125,0.000564516,0.0140833,0.0103629
-36.875,-75.375,0.00318548,0.0142411,0.0599193,0.0567917,0.0909677,0.04,0.0952419,0.0515323,0.0149167,0.00104839,0.0130417,0.00975806
-36.875,-75.125,0.00447581,0.0116964,0.0508064,0.0399167,0.09,0.0565833,0.0993145,0.0494758,0.0175,0.000403226,0.0154583,0.0118952
-36.875,-74.875,0.00447581,0.00620536,0.0458468,0.0329583,0.090121,0.0235417,0.137863,0.0358064,0.0252083,0.000967742,0.00283333,0.0189516
-36.875,-74.625,0.00391129,0.00700893,0.0295161,0.0452917,0.0618952,0.0196667,0.136653,0.0423387,0.02075,0.000725806,0.005,0.0260484
-36.875,-74.375,0.000846774,0.00982143,0.0318548,0.0585,0.0392339,0.0169167,0.144758,0.0497177,0.02725,0.00185484,0.007375,0.0197581
-36.875,-74.125,0.00443548,0.0116964,0.0451613,0.0728333,0.0477823,0.0188333,0.108347,0.0479032,0.0252083,0.00302419,0.00141667,0.0177419
-36.875,-73.875,0.0190934,0.0381364,0.0240871,0.114072,0.0775044,0.0985354,0.146429,0.075083,0.0507366,0.045569,0.0124844,0.0304882
-36.875,-73.625,0.0163022,0.0377552,0.0145324,0.0938734,0.0633202,0.079197,0.127074,0.0737315,0.0438629,0.0394508,0.0120826,0.029184
-36.875,-73.375,0.0155937,0.045045,0.0108628,0.0858831,0.0945537,0.121329,0.198815,0.112016,0.0407022,0.0490028,0.0106696,0.0270022
