LAT,LON,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
-36.875,-76.875,0.000282258,8.62E-05,0.00145161,0.046375,0.229032,0.0607083,0.192984,0.104718,0.043875,0.00762097,0.01475,0.018871
-36.875,-76.625,0.000322581,0.000172414,0.00169355,0.053625,0.188226,0.0749583,0.175605,0.100363,0.0445417,0.00943548,0.01225,0.0155645
-36.875,-76.375,0.000887097,0.000172414,0.000645161,0.0385417,0.175202,0.0775,0.197863,0.111371,0.048125,0.00979839,0.0100833,0.00875
-36.875,-76.125,0.000927419,0.000646552,0.000846774,0.0352083,0.165726,0.0970833,0.198306,0.126008,0.0524583,0.0208065,0.00141667,0.00657258
-36.875,-75.875,0.000282258,0.00103448,0.000604839,0.0277917,0.142944,0.0651667,0.170161,0.149839,0.05875,0.0165323,0.00108333,0.00520161
-36.875,-75.625,0.00112903,0.000689655,0.00016129,0.0330833,0.171492,0.0403333,0.170403,0.128427,0.0654583,0.00576613,0.0015,0.00387097
-36.875,-75.375,0.00108871,0.00219828,0.000120968,0.0490417,0.171048,0.0434583,0.174516,0.123186,0.0878333,0.0105242,0.00025,0.00318548
-36.875,-75.125,0.000524194,0.00383621,8.06E-05,0.0589167,0.118145,0.0643333,0.174798,0.164879,0.08525,0.0118952,0.00120833,0.00741935
-36.875,-74.875,0.000766129,0.00116379,0.00278226,0.0569583,0.104315,0.096125,0.149597,0.172016,0.0689583,0.0168548,0.0199167,0.00862903
-36.875,-74.625,0.000282258,0.00189655,0.000685484,0.0549167,0.107137,0.072,0.128306,0.169194,0.0668333,0.015,0.011,0.00705645
-36.875,-74.375,0.000241935,0.000215517,0.00197581,0.04675,0.140726,0.0469167,0.107258,0.165121,0.0467917,0.026371,0.00516667,0.00673387
-36.875,-74.125,0.00133065,0.000689655,0.00294355,0.0418333,0.118226,0.02225,0.105444,0.139315,0.044375,0.0222177,0.00125,0.0130242
-36.875,-73.875,0.00314405,0.00752372,0.00508394,0.0541689,0.240466,0.111048,0.210129,0.201247,0.0633214,0.0412747,0.0195078,0.0338858
-36.875,-73.625,0.00266691,0.0072385,0.00416283,0.045701,0.231496,0.1063,0.204755,0.176236,0.063324,0.0375448,0.0199732,0.015693
-36.875,-73.375,0.00249584,0.00648893,0.00365437,0.0707453,0.375024,0.123268,0.250936,0.219962,0.0613218,0.0306771,0.0230662,0.00666329
-36.875,-73.125,0.00216762,0.00510729,0.00368521,0.069596,0.372753,0.158533,0.232709,0.221825,0.0471765,0.0298232,0.0206508,0.00524443
-36.875,-72.875,0.000950172,0,0.0055619,0.0759562,0.409221,0.227081,0.225559,0.222131,0.053145,0.0288144,0.0133012,0.00212129
-36.875,-72.625,0.000933656,0.00146228,0.00632526,0.105352,0.428188,0.317421,0.204144,0.21897,0.0780549,0.0247002,0.00986546,0.00100851
